calibration,dataset,id_num,model_type,params,scale,train_mean,train_std,val_mean,val_std
False,direct,1,LogisticRegression,"{'logisticregression__C': 0.09540954763499938, 'logisticregression__solver': 'lbfgs'}",True,0.6268632295346843,0.007924204243043199,0.6222030667062999,0.029510743279621405
True,direct,2,LogisticRegression,"{'logisticregression__C': 0.09540954763499938, 'logisticregression__solver': 'lbfgs'}",True,0.6261994677239122,0.0,0.597776242654511,0.0
False,direct,3,LogisticRegression,"{'logisticregression__C': 0.07196856730011521, 'logisticregression__solver': 'lbfgs'}",True,0.6268535504333743,0.007924373072677241,0.6222018755972736,0.02948228448133188
True,direct,4,LogisticRegression,"{'logisticregression__C': 0.07196856730011521, 'logisticregression__solver': 'lbfgs'}",True,0.6261906520501206,0.0,0.5977535187903633,0.0
False,head_cross,5,LogisticRegression,"{'logisticregression__C': 0.01, 'logisticregression__solver': 'liblinear'}",True,0.7815941941980423,0.0010503168745718565,0.7804640222189166,0.004828520383001118
True,head_cross,6,LogisticRegression,"{'logisticregression__C': 0.01, 'logisticregression__solver': 'liblinear'}",True,0.7814645235721662,0.0,0.7735817987554205,0.0
False,head_cross,7,LogisticRegression,"{'logisticregression__C': 0.011513953993264475, 'logisticregression__solver': 'liblinear'}",True,0.7815849609923312,0.0010480538307123255,0.7804538653268916,0.004833915515221017
True,head_cross,8,LogisticRegression,"{'logisticregression__C': 0.011513953993264475, 'logisticregression__solver': 'liblinear'}",True,0.7814612762443336,0.0,0.7735640308475905,0.0
False,cross,9,LogisticRegression,"{'logisticregression__C': 10.0, 'logisticregression__solver': 'lbfgs'}",True,0.8028298653608233,0.0028250930300793434,0.7995442265283971,0.00973903531302466
True,cross,10,LogisticRegression,"{'logisticregression__C': 10.0, 'logisticregression__solver': 'lbfgs'}",True,0.8024815325038397,0.0,0.7961648867980178,0.0
False,cross,11,LogisticRegression,"{'logisticregression__C': 8.68511373751352, 'logisticregression__solver': 'lbfgs'}",True,0.8028288918242057,0.002824955482590286,0.7995442241191588,0.009738118216216002
True,cross,12,LogisticRegression,"{'logisticregression__C': 8.68511373751352, 'logisticregression__solver': 'lbfgs'}",True,0.8024808858519503,0.0,0.796163913394327,0.0
False,head,13,LogisticRegression,"{'logisticregression__C': 0.07196856730011521, 'logisticregression__solver': 'liblinear'}",True,0.8542727569689268,0.004038707322445386,0.8491486120940148,0.015200518634781071
True,head,14,LogisticRegression,"{'logisticregression__C': 0.07196856730011521, 'logisticregression__solver': 'liblinear'}",True,0.8538643707273265,0.0,0.847619329856172,0.0
False,head,15,LogisticRegression,"{'logisticregression__C': 0.6866488450043002, 'logisticregression__solver': 'lbfgs'}",True,0.8544100834815247,0.003969308794050704,0.8491408502306829,0.015338111788723631
True,head,16,LogisticRegression,"{'logisticregression__C': 0.6866488450043002, 'logisticregression__solver': 'lbfgs'}",True,0.8539083969254501,0.0,0.8473545914335389,0.0
False,regular,17,LogisticRegression,"{'logisticregression__C': 0.04714866363457394, 'logisticregression__solver': 'liblinear'}",True,0.8326249227149984,0.0011759438214782206,0.8323524028428558,0.004595993552610394
True,regular,18,LogisticRegression,"{'logisticregression__C': 0.04714866363457394, 'logisticregression__solver': 'liblinear'}",True,0.8326002325098585,0.0,0.838369086073981,0.0
False,regular,19,LogisticRegression,"{'logisticregression__C': 0.03556480306223129, 'logisticregression__solver': 'liblinear'}",True,0.8326247665360229,0.0011761613205560175,0.8323516427506061,0.004591383962529266
True,regular,20,LogisticRegression,"{'logisticregression__C': 0.03556480306223129, 'logisticregression__solver': 'liblinear'}",True,0.8325999924320893,0.0,0.8383676279416158,0.0
False,direct,21,XGBClassifier,"{'xgbclassifier__subsample': 0.5, 'xgbclassifier__n_estimators': 400, 'xgbclassifier__min_child_weight': 1, 'xgbclassifier__max_depth': 3, 'xgbclassifier__learning_rate': 0.004281332398719396, 'xgbclassifier__gamma': 0, 'xgbclassifier__colsample_bytree': 0.9}",False,0.7039954013565876,0.006875741226594702,0.6472453806868709,0.017686109920971565
True,direct,22,XGBClassifier,"{'xgbclassifier__subsample': 0.5, 'xgbclassifier__n_estimators': 400, 'xgbclassifier__min_child_weight': 1, 'xgbclassifier__max_depth': 3, 'xgbclassifier__learning_rate': 0.004281332398719396, 'xgbclassifier__gamma': 0, 'xgbclassifier__colsample_bytree': 0.9}",False,0.6975378061361855,0.0,0.6112026377861504,0.0
False,direct,23,XGBClassifier,"{'xgbclassifier__subsample': 0.7, 'xgbclassifier__n_estimators': 1400, 'xgbclassifier__min_child_weight': 1, 'xgbclassifier__max_depth': 3, 'xgbclassifier__learning_rate': 0.001, 'xgbclassifier__gamma': 0.01, 'xgbclassifier__colsample_bytree': 0.8}",False,0.7007052324756478,0.006709175028238572,0.6472114307990957,0.016039858297415884
True,direct,24,XGBClassifier,"{'xgbclassifier__subsample': 0.7, 'xgbclassifier__n_estimators': 1400, 'xgbclassifier__min_child_weight': 1, 'xgbclassifier__max_depth': 3, 'xgbclassifier__learning_rate': 0.001, 'xgbclassifier__gamma': 0.01, 'xgbclassifier__colsample_bytree': 0.8}",False,0.6948568882577608,0.0,0.6116400721709925,0.0
False,head_cross,25,XGBClassifier,"{'xgbclassifier__subsample': 0.7, 'xgbclassifier__n_estimators': 1800, 'xgbclassifier__min_child_weight': 4, 'xgbclassifier__max_depth': 3, 'xgbclassifier__learning_rate': 0.003359818286283781, 'xgbclassifier__gamma': 0.1, 'xgbclassifier__colsample_bytree': 0.7}",False,0.7940078324908735,0.0008438268086340321,0.7803794009114687,0.003706689642954588
True,head_cross,26,XGBClassifier,"{'xgbclassifier__subsample': 0.7, 'xgbclassifier__n_estimators': 1800, 'xgbclassifier__min_child_weight': 4, 'xgbclassifier__max_depth': 3, 'xgbclassifier__learning_rate': 0.003359818286283781, 'xgbclassifier__gamma': 0.1, 'xgbclassifier__colsample_bytree': 0.7}",False,0.7922958819198639,0.0,0.7755263836539252,0.0
False,head_cross,27,XGBClassifier,"{'xgbclassifier__subsample': 0.6, 'xgbclassifier__n_estimators': 1800, 'xgbclassifier__min_child_weight': 6, 'xgbclassifier__max_depth': 3, 'xgbclassifier__learning_rate': 0.0026366508987303583, 'xgbclassifier__gamma': 0.1, 'xgbclassifier__colsample_bytree': 0.9}",False,0.7907350636864805,0.0008480367777784334,0.7800765823827412,0.0034379187615518774
True,head_cross,28,XGBClassifier,"{'xgbclassifier__subsample': 0.6, 'xgbclassifier__n_estimators': 1800, 'xgbclassifier__min_child_weight': 6, 'xgbclassifier__max_depth': 3, 'xgbclassifier__learning_rate': 0.0026366508987303583, 'xgbclassifier__gamma': 0.1, 'xgbclassifier__colsample_bytree': 0.9}",False,0.78976353967467,0.0,0.7749055078887633,0.0
False,cross,29,XGBClassifier,"{'xgbclassifier__subsample': 0.8, 'xgbclassifier__n_estimators': 2000, 'xgbclassifier__min_child_weight': 6, 'xgbclassifier__max_depth': 3, 'xgbclassifier__learning_rate': 0.0012742749857031334, 'xgbclassifier__gamma': 0, 'xgbclassifier__colsample_bytree': 0.7}",False,0.8098715207579328,0.0022379680142351143,0.7977695255586271,0.00944910968153479
True,cross,30,XGBClassifier,"{'xgbclassifier__subsample': 0.8, 'xgbclassifier__n_estimators': 2000, 'xgbclassifier__min_child_weight': 6, 'xgbclassifier__max_depth': 3, 'xgbclassifier__learning_rate': 0.0012742749857031334, 'xgbclassifier__gamma': 0, 'xgbclassifier__colsample_bytree': 0.7}",False,0.8086949165754397,0.0,0.7941095449045724,0.0
False,cross,31,XGBClassifier,"{'xgbclassifier__subsample': 0.7, 'xgbclassifier__n_estimators': 400, 'xgbclassifier__min_child_weight': 1, 'xgbclassifier__max_depth': 3, 'xgbclassifier__learning_rate': 0.00545559478116852, 'xgbclassifier__gamma': 0, 'xgbclassifier__colsample_bytree': 0.8}",False,0.8102051713815952,0.0018761581871114838,0.7977651814681501,0.010065584573936566
True,cross,32,XGBClassifier,"{'xgbclassifier__subsample': 0.7, 'xgbclassifier__n_estimators': 400, 'xgbclassifier__min_child_weight': 1, 'xgbclassifier__max_depth': 3, 'xgbclassifier__learning_rate': 0.00545559478116852, 'xgbclassifier__gamma': 0, 'xgbclassifier__colsample_bytree': 0.8}",False,0.8075287680728915,0.0,0.7944030261173946,0.0
False,head,33,XGBClassifier,"{'xgbclassifier__subsample': 0.8, 'xgbclassifier__n_estimators': 1800, 'xgbclassifier__min_child_weight': 2, 'xgbclassifier__max_depth': 3, 'xgbclassifier__learning_rate': 0.003359818286283781, 'xgbclassifier__gamma': 0.1, 'xgbclassifier__colsample_bytree': 0.5}",False,0.8791924186241241,0.0037688833499791453,0.8502012073439532,0.014035197122961085
True,head,34,XGBClassifier,"{'xgbclassifier__subsample': 0.8, 'xgbclassifier__n_estimators': 1800, 'xgbclassifier__min_child_weight': 2, 'xgbclassifier__max_depth': 3, 'xgbclassifier__learning_rate': 0.003359818286283781, 'xgbclassifier__gamma': 0.1, 'xgbclassifier__colsample_bytree': 0.5}",False,0.8757168087414363,0.0,0.846244270586376,0.0
False,head,35,XGBClassifier,"{'xgbclassifier__subsample': 0.9, 'xgbclassifier__n_estimators': 1400, 'xgbclassifier__min_child_weight': 4, 'xgbclassifier__max_depth': 3, 'xgbclassifier__learning_rate': 0.001, 'xgbclassifier__gamma': 0, 'xgbclassifier__colsample_bytree': 0.9}",False,0.860239755719622,0.003599315237234392,0.8498187941595176,0.014479299555696793
